original_name,id,stochiometry,average_pLDDT,taxond_id,lineage,scientific_name,is_ancestral,nitrogenase_type,status,chain_reference,variant,clade
Nif_Alkaliflexus_imshenetskii_001.rechained.pdb,nsdb-000001,DDKK,94.65043456543455,286730,Bacteria; Bacteroidota; Bacteroidia; Marinilabiliales; Marinilabiliaceae; Alkaliflexus; ,Alkaliflexus imshenetskii,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Desulfohalovibrio_alkalitolerans_001.rechained.pdb,nsdb-000002,DDKK,94.69532114624506,,,Desulfohalovibrio alkalitolerans,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Candidatus_Methanolliviera_sp_GoM_asphalt_001.rechained.pdb,nsdb-000003,DDKK,94.60545300113249,,,Candidatus Methanolliviera sp GoM asphalt,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Marinilabilia_sp_WTE_001.rechained.pdb,nsdb-000004,DDKK,94.37713858424726,,,Marinilabilia sp WTE,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Cupriavidus_sp_amp6_001.rechained.pdb,nsdb-000005,DDKK,94.70602487562189,,,Cupriavidus sp amp6,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Sporolactobacillus_terrae_001.rechained.pdb,nsdb-000006,DDKK,94.63700305810397,269673,Bacteria; Bacillota; Bacilli; Bacillales; Sporolactobacillaceae; Sporolactobacillus; ,Sporolactobacillus terrae,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Methanophagales_archaeon_001.rechained.pdb,nsdb-000007,DDKK,95.11053733031673,2056316,Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanophagales; ,Methanophagales archaeon,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Ammonifex_sp_001.rechained.pdb,nsdb-000008,DDKK,92.8165076923077,,,Ammonifex sp,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Frankia_canadensis_001.rechained.pdb,nsdb-000009,DDKK,94.1014662027833,1836972,Bacteria; Actinomycetota; Actinomycetes; Frankiales; Frankiaceae; Frankia; ,Frankia canadensis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Malonomonas_rubra_001.rechained.pdb,nsdb-000010,DDKK,95.24954451345755,57040,Bacteria; Thermodesulfobacteriota; Desulfuromonadia; Desulfuromonadales; Geopsychrobacteraceae; Malonomonas; ,Malonomonas rubra,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Pelomonas_saccharophila_001.rechained.pdb,nsdb-000011,DDKK,95.55828855721394,,,Pelomonas saccharophila,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Syntrophus_gentianae_001.rechained.pdb,nsdb-000012,DDKK,94.49230426164517,43775,Bacteria; Thermodesulfobacteriota; Syntrophia; Syntrophales; Syntrophaceae; Syntrophus; ,Syntrophus gentianae,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Deltaproteobacteria_bacterium_HGW-Deltaproteobacteria-8_001.rechained.pdb,nsdb-000013,DDKK,94.5732117882118,2013758,Bacteria; Deltaproteobacteria; ,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-8,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Hydrogenophilales_bacterium_28-61-23_001.rechained.pdb,nsdb-000014,DDKK,94.89303343166175,1970530,Bacteria; Pseudomonadota; Hydrogenophilia; Hydrogenophilales; ,Hydrogenophilales bacterium 28-61-23,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Skermanella_aerolata_001.rechained.pdb,nsdb-000015,DDKK,94.83935240963855,393310,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Azospirillaceae; Skermanella; ,Skermanella aerolata,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
